"name","result"
"德福科技","SKIP: 无 backfill 重复块"
"澜起科技","SKIP: 无 backfill 重复块"
"盛科通信","SKIP: 无 backfill 重复块"
"国际复材","SKIP: 无 backfill 重复块"
"中国巨石","SKIP: 无 backfill 重复块"
"三环集团","SKIP: 无 backfill 重复块"
"华正新材","SKIP: 无 backfill 重复块"
"生益科技","SKIP: 无 backfill 重复块"
"铜冠铜箔","SKIP: 无 backfill 重复块"
"风华高科","SKIP: 无 backfill 重复块"
"鼎泰高科","SKIP: 无 backfill 重复块"
