thscode,name,industry,pool,score,verdict,roe,gross_margin,net_margin,ocf_to_ni,debt_ratio,revenue_yoy,net_profit_yoy,pe_ttm,pb_mrq,market_cap_yi,price,change_pct,red_flags,yellow_flags,green_highlights,reason,high_leverage_note
002653.SZ,海思科,化学制药,exclude,3,RED,0.0611,0.7116459999999999,0.05915600000000001,3.027988,0.38837000000000005,0.17908470999999998,-0.34359251,103.123201,16.33949,791.55120262,69.38,0.73,净利同比下降 -34.4%，严重恶化,ROE 6.1%，低于 10% 良好线;PE(TTM) 103.1 > 40 且无 20%+ 高增长支撑，估值偏贵,高毛利率 71.2%，通常意味差异化/护城河;经营现金流/净利润 3.03，高含金量利润;营收增长 17.9%，强成长,RED（红牌≥2 或综合分<4.5）,
002654.SZ,万润科技,光学光电子,exclude,0,RED,0.0207,0.09927,0.003767,5.37752996,0.659735,0.14096709000000002,-0.48799145000000005,410.492613,7.501772,117.32799311,13.88,6.2,ROE 仅 2.1%，低于 5% 资本回报红线;净利同比下降 -48.8%，严重恶化,毛利率 9.9%，低于 20%（弱护城河风险）;净利率 0.4%，低于 5%，价格敏感度高;资产负债率 66.0%，超过 50%，杠杆偏高;PE(TTM) 410.5 > 40 且无 20%+ 高增长支撑，估值偏贵,经营现金流/净利润 5.38，高含金量利润,RED（红牌≥2 或综合分<4.5）,
002655.SZ,共达电声,消费电子,exclude,0.3999999999999999,RED,0.1047,0.26975899999999997,0.052268,0.41286320000000004,0.5779,0.18796247000000002,0.00794956,275.974165,14.161873,123.9221016,33.99,6.15,经营现金流/净利润仅 0.41，低于 0.5（严重盈利质量隐患）,资产负债率 57.8%，超过 50%，杠杆偏高;PE(TTM) 276.0 > 40 且无 20%+ 高增长支撑，估值偏贵,营收增长 18.8%，强成长,RED（红牌≥2 或综合分<4.5）,
002658.SZ,雪迪龙,环保设备Ⅱ,exclude,2.9000000000000004,RED,0.061200000000000004,0.435681,0.10860900000000001,1.98773518,0.147295,-0.01593625,-0.1044007,33.730952,1.945825,52.32312405,8.23,10.03,⚠️ 戴维斯双杀预警：营收下滑+净利下滑+PE>30，估值泡沫化,ROE 6.1%，低于 10% 良好线;营收同比 -1.6%，负增长;净利同比 -10.4%，利润下滑,高毛利率 43.6%，通常意味差异化/护城河;经营现金流/净利润 1.99，高含金量利润;资产负债率仅 14.7%，财务结构稳健,RED（红牌≥2 或综合分<4.5）,
002661.SZ,克明食品,食品加工,exclude,0,RED,0.0403,0.203449,0.012679000000000001,7.86075339,0.5611590000000001,-0.05224787,-0.36773353,61.836316,1.092561,25.0009376,7.72,-0.39,ROE 仅 4.0%，低于 5% 资本回报红线;净利同比下降 -36.8%，严重恶化;⚠️ 戴维斯双杀预警：营收下滑+净利下滑+PE>30，估值泡沫化,净利率 1.3%，低于 5%，价格敏感度高;资产负债率 56.1%，超过 50%，杠杆偏高;PE(TTM) 61.8 > 40 且无 20%+ 高增长支撑，估值偏贵;营收同比 -5.2%，负增长,经营现金流/净利润 7.86，高含金量利润,RED（红牌≥2 或综合分<4.5）,
002662.SZ,峰璟股份,汽车零部件,exclude,3.0999999999999996,RED,0.0572,0.315595,0.085481,2.20444074,0.274075,-0.05934065,-0.29688394,21.430737,1.087427,48.6,3.24,-0.61,净利同比下降 -29.7%，严重恶化,ROE 5.7%，低于 10% 良好线;营收同比 -5.9%，负增长,经营现金流/净利润 2.20，高含金量利润;资产负债率仅 27.4%，财务结构稳健,RED（红牌≥2 或综合分<4.5）,
002664.SZ,信质集团,汽车零部件,exclude,0.5,RED,0.038599999999999995,0.11044000000000001,0.021848,2.8402069,0.676996,0.03107103,5.3426927,42.755034,1.868777,66.61824,16.32,-0.61,ROE 仅 3.9%，低于 5% 资本回报红线,毛利率 11.0%，低于 20%（弱护城河风险）;净利率 2.2%，低于 5%，价格敏感度高;资产负债率 67.7%，超过 50%，杠杆偏高;PE(TTM) 42.8 > 40 且无 20%+ 高增长支撑，估值偏贵,经营现金流/净利润 2.84，高含金量利润;净利增长 534.3%，利润增长强劲,RED（红牌≥2 或综合分<4.5）,
002666.SZ,德联集团,化学制品,exclude,0,RED,0.0129,0.11013500000000001,0.0066549999999999995,4.94803074,0.332158,0.14690085,-0.33655161,68.054753,0.943926,33.33237043,4.23,0.95,ROE 仅 1.3%，低于 5% 资本回报红线;净利同比下降 -33.7%，严重恶化,毛利率 11.0%，低于 20%（弱护城河风险）;净利率 0.7%，低于 5%，价格敏感度高;PE(TTM) 68.1 > 40 且无 20%+ 高增长支撑，估值偏贵,经营现金流/净利润 4.95，高含金量利润,RED（红牌≥2 或综合分<4.5）,
002668.SZ,TCL智家,白色家电,watch,6.7,YELLOW,0.37689999999999996,0.25228300000000004,0.115203,2.26556758,0.689075,0.00926926,0.10216882999999999,9.455881,2.772069,106.67656452,9.84,-3.05,,资产负债率 68.9%，超过 50%，杠杆偏高,高 ROE 37.7%，显示强护城河;经营现金流/净利润 2.27，高含金量利润;PE(TTM) 9.5 < 15，估值有一定吸引力,,
002669.SZ,康达新材,化学制品,exclude,0,RED,0.045899999999999996,0.14068,0.021589,-9.56068444,0.662433,0.68873584,1.50955866,29.970812,1.360403,37.74296,12.44,1.97,ROE 仅 4.6%，低于 5% 资本回报红线;经营现金流/净利润仅 -9.56，低于 0.5（严重盈利质量隐患）,毛利率 14.1%，低于 20%（弱护城河风险）;净利率 2.2%，低于 5%，价格敏感度高;资产负债率 66.2%，超过 50%，杠杆偏高,营收增长 68.9%，强成长;净利增长 151.0%，利润增长强劲,RED（红牌≥2 或综合分<4.5）,
002670.SZ,国盛证券,证券Ⅱ,exclude,0,RED,0.024314,,0.152672,-2.01378576,0.758844,0.02289089,0.6304505499999999,105.746681,1.903277,215.76193881,11.15,-1.41,ROE 仅 2.4%，低于 5% 资本回报红线;经营现金流/净利润仅 -2.01，低于 0.5（严重盈利质量隐患）;资产负债率 75.9%，超过 70% 高杠杆红线,毛利率数据缺失;PE(TTM) 105.7 > 40 且无 20%+ 高增长支撑，估值偏贵,净利增长 63.0%，利润增长强劲,RED（红牌≥2 或综合分<4.5）,1
002671.SZ,龙泉股份,水泥,exclude,0.09999999999999964,RED,0.0292,0.319396,0.035572,6.91833643,0.43608800000000003,0.27339106,-0.27625605,40.168245,1.342333,22.01436116,3.92,0,ROE 仅 2.9%，低于 5% 资本回报红线;净利同比下降 -27.6%，严重恶化,净利率 3.6%，低于 5%，价格敏感度高;PE(TTM) 40.2 > 40 且无 20%+ 高增长支撑，估值偏贵,经营现金流/净利润 6.92，高含金量利润;营收增长 27.3%，强成长,RED（红牌≥2 或综合分<4.5）,
002673.SZ,西部证券,证券Ⅱ,exclude,1,RED,0.059500000000000004,,0.30293600000000004,1.26554476,0.73676,-0.10837573,0.24969833000000002,16.961452,0.970775,296.33326704,6.63,-0.9,资产负债率 73.7%，超过 70% 高杠杆红线;营收同比下降 -10.8%，大幅萎缩,ROE 6.0%，低于 10% 良好线;毛利率数据缺失,净利率 30.3%，出色的费用控制或定价权;经营现金流/净利润 1.27，高含金量利润;净利增长 25.0%，利润增长强劲,RED（红牌≥2 或综合分<4.5）,1
002674.SZ,兴业科技,纺织制造,exclude,0.40000000000000036,RED,0.04190000000000001,0.209567,0.059835,3.7468450300000002,0.427059,0.0118711,-0.28406127000000003,83.321759,3.572056,87.54218961,29.62,4.08,ROE 仅 4.2%，低于 5% 资本回报红线;净利同比下降 -28.4%，严重恶化,PE(TTM) 83.3 > 40 且无 20%+ 高增长支撑，估值偏贵,经营现金流/净利润 3.75，高含金量利润,RED（红牌≥2 或综合分<4.5）,
002675.SZ,东诚药业,化学制药,exclude,2.5,RED,0.0446,0.509663,0.056343,2.96403236,0.407649,-0.04456786,0.06420859,53.148229,2.533612,108.59925435,13.17,-1.05,ROE 仅 4.5%，低于 5% 资本回报红线,PE(TTM) 53.1 > 40 且无 20%+ 高增长支撑，估值偏贵;营收同比 -4.5%，负增长,高毛利率 51.0%，通常意味差异化/护城河;经营现金流/净利润 2.96，高含金量利润,RED（红牌≥2 或综合分<4.5）,
002676.SZ,顺威股份,家电零部件Ⅱ,exclude,2.5999999999999996,RED,0.0622,0.199186,0.030532,2.451488,0.610105,0.07556588,0.47212215999999996,43.375107,2.670158,35.928,4.99,0.2,,ROE 6.2%，低于 10% 良好线;毛利率 19.9%，低于 20%（弱护城河风险）;净利率 3.1%，低于 5%，价格敏感度高;资产负债率 61.0%，超过 50%，杠杆偏高;PE(TTM) 43.4 > 40 且无 20%+ 高增长支撑，估值偏贵,经营现金流/净利润 2.45，高含金量利润;净利增长 47.2%，利润增长强劲,RED（红牌≥2 或综合分<4.5）,
002677.SZ,浙江美大,厨卫电器,exclude,0,RED,0.0075,0.37392000000000003,0.023152,2.88469034,0.093469,-0.48241588,-0.89549549,690.844941,3.122573,45.99887727,7.12,-2.2,ROE 仅 0.8%，低于 5% 资本回报红线;营收同比下降 -48.2%，大幅萎缩;净利同比下降 -89.5%，严重恶化;⚠️ 戴维斯双杀预警：营收下滑+净利下滑+PE>30，估值泡沫化,净利率 2.3%，低于 5%，价格敏感度高;PE(TTM) 690.8 > 40 且无 20%+ 高增长支撑，估值偏贵,经营现金流/净利润 2.88，高含金量利润;资产负债率仅 9.3%，财务结构稳健,RED（红牌≥2 或综合分<4.5）,
002679.SZ,福建金森,林业Ⅱ,exclude,0,RED,0.0121,0.385338,0.057416999999999996,7.66900275,0.61708,-0.013323529999999998,-0.11337971,243.961464,2.83624,21.1237376,8.96,0.11,ROE 仅 1.2%，低于 5% 资本回报红线;⚠️ 戴维斯双杀预警：营收下滑+净利下滑+PE>30，估值泡沫化,资产负债率 61.7%，超过 50%，杠杆偏高;PE(TTM) 244.0 > 40 且无 20%+ 高增长支撑，估值偏贵;营收同比 -1.3%，负增长;净利同比 -11.3%，利润下滑,经营现金流/净利润 7.67，高含金量利润,RED（红牌≥2 或综合分<4.5）,
002683.SZ,广东宏大,化学制品,watch,5.9,YELLOW,0.142,0.208815,0.08219099999999999,2.37780713,0.554365,0.49203485999999996,0.06618375,22.329393,3.073357,215.9593349,28.42,-1.32,,资产负债率 55.4%，超过 50%，杠杆偏高,经营现金流/净利润 2.38，高含金量利润;营收增长 49.2%，强成长,,
002685.SZ,华东重机,工程机械,exclude,0,RED,0.042699999999999995,0.282252,0.057801,-0.85195166,0.42455800000000005,-0.32081666,-0.45772102,67.690013,3.549552,58.54682624,5.81,-3.17,ROE 仅 4.3%，低于 5% 资本回报红线;经营现金流/净利润仅 -0.85，低于 0.5（严重盈利质量隐患）;营收同比下降 -32.1%，大幅萎缩;净利同比下降 -45.8%，严重恶化;⚠️ 戴维斯双杀预警：营收下滑+净利下滑+PE>30，估值泡沫化,PE(TTM) 67.7 > 40 且无 20%+ 高增长支撑，估值偏贵,,RED（红牌≥2 或综合分<4.5）,
002686.SZ,亿利达,通用设备,exclude,1.7999999999999998,RED,0.0189,0.19159600000000002,0.021227,1.6457377,0.38702,0.00827909,0.34359617,192.540771,2.242555,36.1826806,6.39,1.91,ROE 仅 1.9%，低于 5% 资本回报红线,毛利率 19.2%，低于 20%（弱护城河风险）;净利率 2.1%，低于 5%，价格敏感度高;PE(TTM) 192.5 > 40 且无 20%+ 高增长支撑，估值偏贵,经营现金流/净利润 1.65，高含金量利润;净利增长 34.4%，利润增长强劲,RED（红牌≥2 或综合分<4.5）,
002687.SZ,乔治白,服装家纺,exclude,1.5999999999999996,RED,0.056600000000000004,0.466888,0.070516,2.6685175099999996,0.261587,-0.0017561599999999999,-0.03301264,40.756551,2.110071,33.01257871,6.54,6.34,⚠️ 戴维斯双杀预警：营收下滑+净利下滑+PE>30，估值泡沫化,ROE 5.7%，低于 10% 良好线;PE(TTM) 40.8 > 40 且无 20%+ 高增长支撑，估值偏贵;营收同比 -0.2%，负增长;净利同比 -3.3%，利润下滑,高毛利率 46.7%，通常意味差异化/护城河;经营现金流/净利润 2.67，高含金量利润;资产负债率仅 26.2%，财务结构稳健,RED（红牌≥2 或综合分<4.5）,
